CODE,LINE_NAME,DATE,OUTPUT_KWH,LOSS_NOLOAD_KWH,LOSS_LOAD_KWH,LOSS_KWH,LOSS_PCT,MAX_LOAD_PCT,AVG_LOAD_PCT,N_INTERVALS,OUTPUT_SRC
YM.TITAN.NX5.400KVA,YM.TITAN.NX5.400KVA.JEN YAW,2026-01-07,360,9.864,0.326551,10.1906,2.75279,17.4691,3.84477,48,index
YM.TITAN.NX6.400kVA,YM.TITAN.NX6.400kVA.FUMAO,2026-01-07,185.6,9.72,0.0487979,9.7688,5.00018,3.95434,1.96016,48,index
YM.TITAN.NX7.630kVA,YM.TITAN.NX7.630kVA,2026-01-07,280,18.768,0.0530936,18.8211,6.29845,3.31805,1.90578,48,index
YM.TITAN.NX8.750kVA,YM.TITAN.NX8.750kVA Hồng Nguyên,2026-01-07,766,19.296,0.628136,19.9241,2.53512,11.9158,4.47991,48,index
YM.TITAN.NX9.750kVA,YM.TITAN.NX9.750kVA,2026-01-07,342,19.2826,0.104762,19.3874,5.3647,5.09564,1.93504,48,index
YM.VINSON.T1.400kVA,YM.VINSON.T1.400kVA,2026-01-07,3632,10.6874,16.4231,27.1105,0.740905,58.7064,39.2067,48,index
03.ECOLAND.T1.400KVA,03.ECOLAND.T1.400KVA,2026-01-08,161,6.768,0.0413505,6.80935,4.05779,3.32133,1.57405,48,index
03.ECOLAND.T2.250kVA,03.ECOLAND.T2.250kVA,2026-01-08,337.2,8.712,0.374116,9.08612,2.62388,15.1946,5.5342,48,index
03.ECOLAND.T4.1250kVA,03.ECOLAND.T4.1250kVA,2026-01-08,159,29.016,0.0159937,29.032,15.4399,1.09903,0.780555,48,index
03.ECOLAND.T5.1500kVA,03.ECOLAND.T5.1500kVA,2026-01-08,83.2,29.616,0.00260609,29.6186,26.2533,0.576,0.222584,48,index
03.GHN.T1.2000kVA,03.GHN.T1.2000kVA,2026-01-08,10095,44.4,18.2397,62.6397,0.616676,29.9176,20.9895,48,index
03.IP.T1.560kVA,03.IP.T1.560kVA,2026-01-08,620.8,12.9638,0.247983,13.2118,2.08384,6.43371,4.63302,48,index
03.JPVN.T1.800kVA,03.JPVN.T1.800kVA,2026-01-08,774,19.32,0.518487,19.8385,2.49906,11.0048,4.16127,48,index
03.LOGOS.T1.1000kVA,03.LOGOS.T1.1000kVA,2026-01-08,60.8,21.2808,0.00134441,21.2821,25.9279,0.395818,0.244416,48,index
03.LOGOS.T2.2500kVA,03.LOGOS.T2.2500kVA,2026-01-08,165,40.7112,0.00426437,40.7155,19.7921,0.367696,0.287459,48,index
03.SENDAI.T1.1000kVA,03.SENDAI.T1.1000kVA,2026-01-08,4784,22.1858,8.67769,30.8635,0.641005,23.2365,20.1845,48,index
03.SHINERAY.1000kVA,03.SHINERAY.1000kVA,2026-01-08,96,22.2,0.00686708,22.2069,18.7864,1.47361,0.379537,48,index
03.TAMAGAWA.T1.750kVA,03.TAMAGAWA.T1.750kVA,2026-01-08,955.2,21.552,0.650454,22.2025,2.27158,11.5085,5.35585,48,index
TH.ACCELOTECH.T1.800kVA,TH.ACCELOTECH.T1.800kVA,2026-01-08,750.4,19.8785,0.342782,20.2213,2.62402,10.0018,3.80147,48,index
TH.ASAHI.T1.2500kVA,TH.ASAHI.T1.2500kVA,2026-01-08,10314,45.5151,10.1284,55.6435,0.5366,24.5506,17.2646,48,index
TH.BEBRIGHT.T1.2500kVA,TH.BEBRIGHT.T1.2500kVA,2026-01-08,576,45.5784,0.109278,45.6877,7.34898,5.30422,1.04751,48,index
TH.BQL.PCCC2.750kVA,TH.BQL.PCCC2.750kVA,2026-01-08,20,17.568,0.000278901,17.5683,46.7636,0.282843,0.116493,48,index
TH.BQL.T1.180kVA,TH.BQL.T1.180kVA,2026-01-08,237.6,6.84,0.208243,7.04824,2.88097,13.4065,5.2938,48,index
TH.BQL.T2.160kVA,TH.BQL.T2.160kVA,2026-01-08,360,6.432,0.614326,7.04633,1.91974,24.5093,10.111,53,index
TH.FANTASY.T1.3150kVA,TH.FANTASY.T1.3150kVA,2026-01-08,25340,91.8096,62.1447,153.954,0.603886,52.2936,34.3514,48,index
TH.HUM&C.T1.750kVA,TH.HUM&C.T1.750kVA,2026-01-08,3296,18.912,5.43069,24.3427,0.733138,23.8769,18.4505,48,index
TH.SINHER.T1.1600kVA,TH.SINHER.T1.1600kVA,2026-01-08,388,27.696,0.0392164,27.7352,6.67137,2.0025,0.985711,48,index
TH.XULI.T1.1000kVA,TH.XULI.T1.1000kVA,2026-01-08,7586.4,23.088,32.7636,55.8516,0.730826,82.2779,33.1775,48,index
TTI.BQL.T2.630kVA CCNS,TTI.BQL.T2.630kVA CCNS,2026-01-08,356,18.72,0.0903111,18.8103,5.01862,5.47251,2.38358,48,index
TTI.BQL.T3.400kVA,TTI.BQL.T3.400kVA  CS+BQL,2026-01-08,587.2,9.96,0.396483,10.3565,1.73314,10.7342,6.30501,51,index
TTI.JOHNSON.T1.3000kVA,TTI.JOHNSON.T1.3000kVA,2026-01-08,1256,95.736,0.161371,95.8974,7.09354,2.565,1.77163,48,index
TTI.JOHNSON.T2.2000kVA,TTI.JOHNSON.T2.2000kVA,2026-01-08,660,73.128,0.0767898,73.2048,9.98422,2.49596,1.45095,48,index
YM.DAECHANG.T1.560kVA,YM.DAECHANG.T1.560kVA,2026-01-08,249,7.728,0.0957912,7.82379,3.04637,7.21316,1.86056,48,index
YM.FOT.T1.2000kVA,YM.FOT.T1.2000kVA,2026-01-08,436,57.528,0.0336235,57.5616,11.6625,1.86011,0.86961,48,index
YM.JILI.T1.630kVA,YM.JILI.T1.630kVA,2026-01-08,2956.8,17.9362,11.5579,29.494,0.987646,57.3228,20.832,48,index
YM.KIMTIN2.T1.1250kVA,YM.KIMTIN2.T1.1250kVA,2026-01-08,210,52.08,0.0340997,52.1141,19.8822,1.20383,0.717977,48,index
YM.LIHUA.T1.560kVA,YM.LIHUA.T1.560kVA,2026-01-08,4608,16.7338,16.7382,33.472,0.72115,57.6365,34.4387,48,index
YM.LIHUA.T2.560kVA,YM.LIHUA.T2.560kVA,2026-01-08,2369.6,16.008,7.40662,23.4146,0.978457,47.2338,19.3779,48,index
YM.MINHQUANG.T1.1500kVA,YM.MINHQUANG.T1.1500kVA,2026-01-08,4964,31.32,6.6866,38.0066,0.759827,21.0818,13.6854,48,index
YM.PACIFIC.T1.1000kVA,YM.PACIFIC.T1.1000kVA,2026-01-08,5865.6,22.3344,11.9225,34.2569,0.580639,27.1971,24.1401,48,index
YM.SOL.T1.400kVA,YM.SOL.T1.400kVA,2026-01-08,724,10.1587,0.701639,10.8604,1.47788,21.3932,8.01578,48,index
YM.TITAN.NX1.400kVA,YM.TITAN.NX1.400kVA.SML,2026-01-08,681.6,9.6,0.928807,10.5288,1.52122,21.528,7.81416,48,index
YM.TITAN.NX2.400kVA,YM.TITAN.NX2.400kVA.ESSENCE,2026-01-08,33.6,9.63312,0.00125081,9.63437,22.2841,0.544059,0.372629,48,index
YM.TITAN.NX4.400kVA,YM.TITAN.NX4.400kVA.JOINT,2026-01-08,4.8,9.8436,9.54719e-06,9.84361,67.2212,0.06,0.031875,48,index
YM.TITAN.NX5.400KVA,YM.TITAN.NX5.400KVA.JEN YAW,2026-01-08,454.4,9.864,0.346621,10.2106,2.19767,16.9257,4.42765,48,index
YM.TITAN.NX6.400kVA,YM.TITAN.NX6.400kVA.FUMAO,2026-01-08,238.4,9.72,0.0678862,9.78789,3.94374,5.70319,2.4661,48,index
YM.TITAN.NX7.630kVA,YM.TITAN.NX7.630kVA,2026-01-08,304,18.768,0.0616848,18.8297,5.8327,3.57302,2.04556,48,index
YM.TITAN.NX8.750kVA,YM.TITAN.NX8.750kVA Hồng Nguyên,2026-01-08,774,19.296,0.589618,19.8856,2.50485,12.6676,4.38425,48,index
YM.TITAN.NX9.750kVA,YM.TITAN.NX9.750kVA,2026-01-08,334,19.296,0.113939,19.4099,5.49219,6.06905,1.99039,48,index
YM.VINSON.T1.400kVA,YM.VINSON.T1.400kVA,2026-01-08,3460.8,10.68,15.2348,25.9148,0.743243,58.5433,37.6672,48,index
03.ECOLAND.T1.400KVA,03.ECOLAND.T1.400KVA,2026-01-09,194,6.768,0.0832172,6.85122,3.41109,5.16152,2.0925,48,index
03.ECOLAND.T2.250kVA,03.ECOLAND.T2.250kVA,2026-01-09,332.4,8.712,0.400668,9.11267,2.66833,15.2634,5.50551,48,index
03.ECOLAND.T4.1250kVA,03.ECOLAND.T4.1250kVA,2026-01-09,183,29.016,0.0186902,29.0347,13.6934,1.28012,0.838675,48,index
03.ECOLAND.T5.1500kVA,03.ECOLAND.T5.1500kVA,2026-01-09,89.6,29.616,0.00268436,29.6187,24.844,0.512,0.235484,48,index
