CODE,LINE_NAME,DATE_TIME,DUR_H,N_METERS,P_KW,Q_KVAR,S_KVA,LOAD_PCT,DELTA_P_KW,OUTPUT_KWH,LOSS_NOLOAD_KWH,LOSS_LOAD_KWH,LOSS_KWH
TH.FANTASY.T1.3150kVA,TH.FANTASY.T1.3150kVA,2026-07-01 00:30:00,0.5,1,868.7,149.1,881.403,27.981,5.34728,434.35,1.9127,0.760938,2.67364
TH.FANTASY.T2.3150kVA,TH.FANTASY.T2.3150kVA,2026-07-01 00:30:00,0.5,1,81.9,20.3,84.3783,2.67868,3.83935,40.95,1.9127,0.00697368,1.91967
TH.HONGXI.T1.800kVA,TH.HONGXI.T1.800kVA,2026-07-01 00:30:00,0.5,1,5.6,-8.16,9.89675,1.23709,0.83104,2.8,0.415,0.0005198,0.41552
TH.HUM&C.T1.750kVA,TH.HUM&C.T1.750kVA,2026-07-01 00:30:00,0.5,1,197.76,27.04,199.6,26.6133,1.24908,98.88,0.394,0.230542,0.624542
TH.SINHER.T1.1600kVA,TH.SINHER.T1.1600kVA,2026-07-01 00:30:00,0.5,1,11.6,-1.6,11.7098,0.731864,1.1547,5.8,0.577,0.000350727,0.577351
TH.XULI.T1.1000kVA,TH.XULI.T1.1000kVA,2026-07-01 00:30:00,0.5,1,22.56,2.16,22.6632,2.26632,0.965344,11.28,0.481,0.00167183,0.482672
TTI.BQL.T1.630kVA XLNT,TTI.BQL.T1.630kVA  XLNT,2026-07-01 00:30:00,0.5,1,1.1,0,1.1,0.174603,0.780017,0.55,0.39,8.34043e-06,0.390008
TTI.BQL.T2.630kVA CCNS,TTI.BQL.T2.630kVA CCNS,2026-07-01 00:30:00,0.5,1,17.1,-3,17.3612,2.75574,0.784155,8.55,0.39,0.0020776,0.392078
TTI.BQL.T3.400kVA,TTI.BQL.T3.400kVA  CS+BQL,2026-07-01 00:30:00,0.5,2,18.16,-3.24,18.4468,4.61169,0.422933,9.08,0.2075,0.00396643,0.211466
TTI.BQL.T4.250kVA,TTI.BQL.T4.250kVA,2026-07-01 00:30:00,0.5,1,8.04,-2.34,8.3736,3.34944,0.366179,4.02,0.1815,0.0015897,0.18309
TTI.JOHNSON 2.T1.3000kVA,TTI.JOHNSON 2.T1.3000kVA,2026-07-01 00:30:00,0.5,1,75.2,-8,75.6243,2.52081,3.97475,37.6,1.981,0.00637705,1.98738
TTI.JOHNSON.T1.3000kVA,TTI.JOHNSON.T1.3000kVA,2026-07-01 00:30:00,0.5,1,761.6,272,808.714,26.9571,5.44753,380.8,1.9945,0.729267,2.72377
TTI.JOHNSON.T2.2000kVA,TTI.JOHNSON.T2.2000kVA,2026-07-01 00:30:00,0.5,1,120,7.2,120.216,6.01079,3.09794,60,1.5235,0.0254678,1.54897
YM.DAECHANG.T1.560kVA,YM.DAECHANG.T1.560kVA,2026-07-01 00:30:00,0.5,1,2.9,0.5,2.94279,0.525498,0.322129,1.45,0.161,6.44529e-05,0.161064
YM.ECOPIONEER.1250 kVA,YM.ECOPIONEER.1250kVA,2026-07-01 00:30:00,0.5,1,4.5,-0.3,4.50999,0.360799,1.18813,2.25,0.594,6.73661e-05,0.594067
YM.FOT.T1.2000kVA,YM.FOT.T1.2000kVA,2026-07-01 00:30:00,0.5,1,186.8,-32,189.521,9.47605,2.54882,93.4,1.1985,0.0759101,1.27441
YM.FUMAO.800kVA,YM.FUMAO.800kVA,2026-07-01 00:30:00,0.5,1,4.8,0.2,4.80416,0.600521,0.798541,2.4,0.39915,0.000120631,0.399271
YM.JILI.T1.630kVA,YM.JILI.T1.630kVA,2026-07-01 00:30:00,0.5,1,20.32,-0.16,20.3206,3.2255,0.752877,10.16,0.37367,0.00276867,0.376439
YM.KIMTIN.3000KVA,YM.KIMTIN.3000KVA.ECHO,2026-07-01 00:30:00,0.5,2,16.8,4.8,17.4723,0.582409,1.07036,8.4,0.535,0.000178738,0.535179
YM.KIMTIN2.T1.1250kVA,YM.KIMTIN2.T1.1250kVA,2026-07-01 00:30:00,0.5,1,48.6,10.5,49.7213,3.97771,2.20911,24.3,1.085,0.0195574,1.10456
YM.LIHUA.T1.560kVA,YM.LIHUA.T1.560kVA,2026-07-01 00:30:00,0.5,1,117.44,71.04,137.255,24.5098,1.02542,58.72,0.34862,0.164092,0.512712
YM.LIHUA.T2.560kVA,YM.LIHUA.T2.560kVA,2026-07-01 00:30:00,0.5,1,122.88,65.6,139.294,24.874,1.00422,61.44,0.3335,0.168609,0.502109
YM.MINHQUANG.T1.1500kVA,YM.MINHQUANG.T1.1500kVA,2026-07-01 00:30:00,0.5,1,12.8,10.4,16.4924,1.09949,1.30665,6.4,0.6525,0.00082688,0.653327
YM.NCC.250kVA,YM.NCC.250kVA,2026-07-01 00:30:00,0.5,1,7.74,-0.24,7.74372,3.09749,0.312719,3.87,0.155,0.00135953,0.15636
