METER_NO,DATE,HSN,START_TIME,END_TIME,PG_START,BT_START,CD_START,TD_START,VC_START,PG_END,BT_END,CD_END,TD_END,VC_END
2510014483,2026-05-29,300,2026-05-29 00:00:00,2026-05-30 00:00:00,136.730,76.560,30.720,29.430,0.000,137.510,77.010,30.920,29.570,0.000
2510014484,2026-05-29,160,2026-05-29 00:00:00,2026-05-30 00:00:00,7216.630,4074.080,1593.430,1549.110,871.370,7230.690,4084.030,1597.040,1549.610,872.750
2510178139,2026-05-29,300,2026-05-29 00:00:00,2026-05-30 00:00:00,266.430,161.260,62.680,42.490,41.250,269.250,163.030,63.350,42.860,41.540
2510178141,2026-05-29,40,2026-05-29 00:00:00,2026-05-30 00:00:00,304.230,225.150,73.020,6.060,65.330,309.560,228.950,74.490,6.110,68.580
2510203103,2026-05-29,400,2026-05-29 00:00:00,2026-05-30 00:00:00,759.850,441.140,165.820,152.880,27.570,773.960,449.020,169.690,155.230,27.720
2510203104,2026-05-29,160,2026-05-29 00:00:00,2026-05-30 00:00:00,1726.350,1017.360,404.130,304.850,171.340,1741.120,1026.160,409.270,305.680,173.880
2510203105,2026-05-29,100,2026-05-29 00:00:00,2026-05-30 00:00:00,1688.530,1177.470,475.930,35.120,390.320,1697.490,1183.280,478.800,35.400,392.320
2510203106,2026-05-29,100,2026-05-29 00:00:00,2026-05-30 00:00:00,66.140,31.250,11.790,23.090,0.310,66.520,31.420,11.840,23.250,0.310
2510203108,2026-05-29,80,2026-05-29 00:00:00,2026-05-30 00:00:00,2181.400,1208.060,476.950,496.370,387.230,2196.310,1216.310,480.570,499.420,389.020
2510203109,2026-05-29,300,2026-05-29 00:00:00,2026-05-30 00:00:00,826.110,517.180,241.830,67.090,320.160,829.610,519.230,243.120,67.240,321.250
2510203111,2026-05-29,40,2026-05-29 00:00:00,2026-05-30 00:00:00,1886.210,1243.570,521.660,120.970,525.010,1905.700,1254.250,525.970,125.470,530.760
2510203113,2026-05-29,160,2026-05-29 00:00:00,2026-05-30 00:00:00,1918.560,1223.240,468.260,227.050,65.880,1944.420,1239.930,473.650,230.840,67.200
2510203114,2026-05-29,120,2026-05-29 00:00:00,2026-05-30 00:00:00,901.430,564.630,223.350,113.430,154.010,913.440,571.850,227.820,113.750,156.590
2510203115,2026-05-29,40,2026-05-29 00:00:00,2026-05-30 00:00:00,1464.550,938.890,341.710,183.940,327.390,1476.260,945.640,345.020,185.590,328.320
2510203117,2026-05-29,80,2026-05-29 00:00:00,2026-05-30 00:00:00,1205.210,637.720,277.150,290.330,186.120,1209.920,640.210,278.040,291.660,187.090
2510203118,2026-05-29,640,2026-05-29 00:00:00,2026-05-30 00:00:00,62.260,37.440,15.340,9.480,26.090,63.670,38.260,15.680,9.720,26.100
2510203119,2026-05-29,40,2026-05-29 00:00:00,2026-05-30 00:00:00,285.780,195.250,78.100,12.420,132.540,296.170,202.940,80.600,12.630,135.930
2510203120,2026-05-29,160,2026-05-29 00:00:00,2026-05-30 00:00:00,2516.440,1530.890,571.090,414.450,540.650,2533.620,1541.700,574.970,416.950,544.150
2510203121,2026-05-29,100,2026-05-29 00:00:00,2026-05-30 00:00:00,771.070,431.970,175.210,163.870,50.470,776.890,435.520,176.690,164.670,50.610
2510203122,2026-05-29,40,2026-05-29 00:00:00,2026-05-30 00:00:00,596.770,380.030,183.170,33.550,435.570,600.820,382.570,184.530,33.710,438.730
2510203123,2026-05-29,40,2026-05-29 00:00:00,2026-05-30 00:00:00,1442.570,971.650,412.760,58.150,468.400,1456.090,979.200,415.980,60.900,472.550
2510203124,2026-05-29,800,2026-05-29 00:00:00,2026-05-30 00:00:00,502.630,354.270,119.170,29.180,142.220,507.870,358.100,120.530,29.220,143.470
2510203125,2026-05-29,160,2026-05-29 00:00:00,2026-05-30 00:00:00,96.410,59.280,19.900,17.220,5.180,97.380,59.770,20.050,17.550,5.180
2510203127,2026-05-29,40,2026-05-29 00:00:00,2026-05-30 00:00:00,293.110,197.000,79.420,16.680,32.110,301.010,202.090,82.130,16.790,34.040
2510203128,2026-05-29,500,2026-05-29 00:00:00,2026-05-30 00:00:00,4709.990,2456.540,828.040,1425.410,154.200,4736.890,2469.880,833.590,1433.410,155.620
2510203133,2026-05-29,40,2026-05-29 00:00:00,2026-05-30 00:00:00,433.480,300.960,98.610,33.900,70.560,434.940,302.010,98.950,33.960,71.010
2510203134,2026-05-29,320,2026-05-29 00:00:00,2026-05-30 00:00:00,119.520,70.260,28.730,20.530,6.060,119.710,70.360,28.770,20.570,6.060
2510224049,2026-05-29,1,2026-05-29 00:00:00,2026-05-30 00:02:00,42270.059,16378.170,9242.420,16649.471,92.710,42373.398,16418.170,9260.320,16694.910,93.910
2510224167,2026-05-29,1,2026-05-29 00:00:00,2026-05-30 00:00:00,13738.390,5457.810,2543.100,5737.470,122.040,13787.030,5481.050,2554.090,5751.870,123.440
2510317505,2026-05-29,1,2026-05-29 00:00:00,2026-05-30 00:00:00,7499.430,3180.590,1718.500,2600.320,0.210,7562.150,3205.650,1732.730,2623.760,0.210
2510317537,2026-05-29,1,2026-05-29 00:00:00,2026-05-30 00:00:00,8080.610,4641.220,1533.280,1906.100,0.000,8125.950,4665.940,1543.030,1916.980,0.000
2510389559,2026-05-29,1,2026-05-29 00:00:00,2026-05-30 00:00:00,34.810,18.580,14.320,1.910,29.580,34.810,18.580,14.320,1.910,29.580
2510389643,2026-05-29,1,2026-05-29 00:00:00,2026-05-30 00:00:00,29713.000,10477.510,5439.300,13796.180,21.220,29836.230,10516.690,5460.490,13859.040,21.230
2510389931,2026-05-29,1,2026-05-29 00:00:00,2026-05-30 00:00:00,20592.670,7852.820,4625.400,8114.440,0.010,20683.670,7884.570,4643.930,8155.160,0.010
2510633381,2026-05-29,320,2026-05-29 00:00:00,2026-05-30 00:00:00,80.050,49.500,17.770,12.780,3.530,81.830,50.630,18.220,12.980,3.560
2510633383,2026-05-29,40,2026-05-29 00:00:00,2026-05-30 00:00:00,620.950,459.580,147.040,14.320,10.170,634.080,469.780,149.850,14.430,10.720
2510633385,2026-05-29,60,2026-05-29 00:00:00,2026-05-30 00:00:00,659.040,290.580,131.450,237.000,17.960,664.330,293.040,132.490,238.790,18.240
2510633386,2026-05-29,500,2026-05-29 00:03:00,2026-05-30 00:00:00,157.030,90.630,36.140,30.250,30.850,160.020,92.310,36.840,30.860,30.850
