METER_NO,DATE_TIME,HSN,PG,BT,CD,TD,VC
2510203124,2026-08-28 01:00:00,800,1078.890,761.940,262.020,54.920,305.120
2510203126,2026-08-28 01:00:00,100,10.420,4.480,1.430,4.500,0.220
2510203127,2026-08-28 01:00:00,40,1073.580,701.740,290.140,81.690,294.320
2510203128,2026-08-28 01:00:00,500,7281.040,3818.750,1282.300,2179.980,321.400
2510203129,2026-08-28 01:00:00,80,1.240,0.640,0.240,0.350,0.000
2510203130,2026-08-28 01:00:00,120,17.250,11.750,3.800,1.690,6.070
2510203133,2026-08-28 01:00:00,40,629.630,429.030,157.730,42.860,106.600
2510203134,2026-08-28 01:00:00,200,136.830,80.110,31.840,24.870,6.060
2510224049,2026-08-28 01:00:00,1,51025.359,19795.650,10539.190,20690.510,117.940
2510317537,2026-08-28 01:00:00,1,10717.220,6159.440,2026.440,2531.320,218.560
2510389559,2026-08-28 01:00:00,1,35.990,19.750,14.320,1.910,30.210
2510389643,2026-08-28 01:00:00,1,40326.859,14396.620,7165.350,18764.881,22.350
2510389931,2026-08-28 01:00:00,1,28913.221,11039.980,6094.840,11778.390,0.080
2510633381,2026-08-28 01:00:00,320,194.890,121.540,43.640,29.700,6.180
2510633383,2026-08-28 01:00:00,40,1539.220,1152.680,356.400,30.130,47.380
2510633385,2026-08-28 01:00:00,60,1110.350,520.650,219.660,370.030,43.160
2510633386,2026-08-28 01:00:00,500,419.850,238.550,91.210,90.070,30.890
2510633387,2026-08-28 01:00:00,40,17.680,11.670,4.390,1.610,0.490
2510633389,2026-08-28 01:00:00,500,241.540,164.040,57.330,20.160,26.340
2510633390,2026-08-28 01:00:00,80,1657.370,998.860,380.810,277.690,430.280
2510633391,2026-08-28 01:00:00,100,218.380,168.440,49.840,0.090,3.050
2510633393,2026-08-28 01:00:00,600,5379.020,3132.780,1072.320,1173.910,1140.470
2510633395,2026-08-28 01:00:00,40,1300.980,732.580,283.550,284.840,61.340
2510633396,2026-08-28 01:00:00,400,810.220,548.280,191.740,70.190,183.350
2510633397,2026-08-28 01:00:00,240,487.580,314.590,145.190,27.790,180.310
2510633400,2026-08-28 01:00:00,800,580.070,352.830,128.430,98.800,96.060
2510633402,2026-08-28 01:00:00,300,342.550,207.180,75.370,59.990,72.830
2510633406,2026-08-28 01:00:00,60,322.960,141.600,61.020,120.330,11.280
2510814977,2026-08-28 01:00:00,400,48.050,29.770,11.440,6.820,1.480
